#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0386	Q6MNK1	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	putA	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIB 9529 / HD100)	982	GO:0003677,GO:0003700,GO:0003842,GO:0004657,GO:0006351,GO:0006355,GO:0006560,GO:0006561,GO:0008152,GO:0010133,GO:0016491,GO:0016620,GO:0055114	GO:0003677,GO:0003700,GO:0006520,GO:0008150,GO:0009056,GO:0009058,GO:0016491,GO:0034641
p0387	A0A1Y3SWL0	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA	Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	613	GO:0003824,GO:0004619,GO:0006094,GO:0006096,GO:0008152,GO:0016616,GO:0016853,GO:0016868,GO:0046538,GO:0055114	GO:0003674,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0051186
p0388	Q59337	Catalase (EC 1.11.1.6)	katA	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	536	GO:0004096,GO:0004601,GO:0005737,GO:0006979,GO:0016491,GO:0020037,GO:0042542,GO:0042744,GO:0046872,GO:0055114	GO:0003674,GO:0005737,GO:0006950,GO:0008150,GO:0009056,GO:0016491,GO:0043167,GO:0051186
p0389	P21469	30S ribosomal protein S7 (BS7)	rpsG	Bacillus subtilis (strain 168)	156	GO:0000028,GO:0000049,GO:0003723,GO:0003729,GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0019843	GO:0003723,GO:0003729,GO:0003735,GO:0005840,GO:0019843,GO:0022618,GO:0042254
p0390	B2A728	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	484	GO:0003824,GO:0003866,GO:0005737,GO:0008652,GO:0009073,GO:0009423,GO:0016740,GO:0016765	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0016765
p0391	T2I430	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	bdhA	Bifidobacterium longum subsp. longum CECT 7347	399	GO:0016491,GO:0046872,GO:0055114	GO:0008150,GO:0016491,GO:0043167
p0392	G0Q9F9	Alpha-factor-transporting ATPase., Xenobiotic-transporting ATPase (EC 3.6.3.44) (EC 3.6.3.48)	SACT1_5091	Streptomyces sp. ACT-1	1243	GO:0000166,GO:0005524,GO:0006855,GO:0008559,GO:0016020,GO:0016021,GO:0016787,GO:0016887,GO:0042626,GO:0042908	GO:0003674,GO:0005575,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0393	O30563	Superoxide dismutase [Fe] (EC 1.15.1.1)	sod	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680)	203	GO:0004784,GO:0005829,GO:0006801,GO:0016491,GO:0019430,GO:0046872,GO:0055114	GO:0005829,GO:0006950,GO:0008150,GO:0016491,GO:0043167
p0394	D6CXL7	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU	Bacteroides xylanisolvens XB1A	665	GO:0005737,GO:0006547,GO:0006548,GO:0016153,GO:0016829,GO:0019556,GO:0019557	GO:0005737,GO:0006520,GO:0009056,GO:0016829,GO:0034641
p0395	P57700	Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	665	GO:0000166,GO:0005524,GO:0005886,GO:0006811,GO:0006813,GO:0008556,GO:0016020,GO:0016021,GO:0016787,GO:0046872	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0396	A9NFL6	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	glgP	Acholeplasma laidlawii (strain PG-8A)	792	GO:0004645,GO:0005975,GO:0008184,GO:0016740,GO:0016757,GO:0030170	GO:0003674,GO:0005975,GO:0016757,GO:0043167
p0397	B9MM92	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI	Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / Z-1320) (Anaerocellum thermophilum)	285	GO:0005737,GO:0006364,GO:0008152,GO:0008168,GO:0016740,GO:0070677	GO:0003674,GO:0005737,GO:0008150,GO:0008168,GO:0034641,GO:0042254
p0398	Q01NZ0	DNA topoisomerase III (EC 5.99.1.2)	Acid_7732	Solibacter usitatus (strain Ellin6076)	1333	GO:0000166,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003917,GO:0005524,GO:0005622,GO:0006265,GO:0006310,GO:0008026,GO:0016853,GO:0044237	GO:0003674,GO:0003677,GO:0004386,GO:0005622,GO:0006259,GO:0008150,GO:0016853,GO:0016887,GO:0043167,GO:0051276
p0399	D1CBT9	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG	Thermobaculum terrenum (strain ATCC BAA-798 / YNP1)	382	GO:0005886,GO:0005975,GO:0007049,GO:0008360,GO:0009252,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0030259,GO:0050511,GO:0051301,GO:0051991,GO:0071555	GO:0000902,GO:0003674,GO:0005575,GO:0005886,GO:0005975,GO:0006629,GO:0007049,GO:0009058,GO:0016757,GO:0051301,GO:0071554
